Date,Close
39272.66667,1.208007
39364.66667,1.209395
39395.66667,1.204602
39425.66667,1.205604
9/13/2007 16:00:00,1.202993
9/14/2007 16:00:00,1.215806
9/17/2007 16:00:00,1.216101
9/18/2007 16:00:00,1.206098
9/19/2007 16:00:00,1.206505
9/20/2007 16:00:00,1.201706
9/21/2007 16:00:00,1.206695
9/24/2007 16:00:00,1.213195
9/25/2007 16:00:00,1.2124
9/26/2007 16:00:00,1.218398
9/27/2007 16:00:00,1.219393
9/28/2007 16:00:00,1.233502
39092.66667,1.238497
39123.66667,1.236598
39151.66667,1.235102
39182.66667,1.237808
39212.66667,1.238605
39304.66667,1.247303
39335.66667,1.244493
39365.66667,1.237103
39396.66667,1.234995
39426.66667,1.227807
10/15/2007 16:00:00,1.218398
10/16/2007 16:00:00,1.215495
10/17/2007 16:00:00,1.223406
10/18/2007 16:00:00,1.223496
10/19/2007 16:00:00,1.227401
10/22/2007 16:00:00,1.230194
10/23/2007 16:00:00,1.229407
10/24/2007 16:00:00,1.223496
10/25/2007 16:00:00,1.221807
10/26/2007 16:00:00,1.234096
10/29/2007 16:00:00,1.249001
10/30/2007 16:00:00,1.253306
10/31/2007 16:00:00,1.252693
39093.66667,1.245795
39124.66667,1.241604
39213.66667,1.239403
39244.66667,1.241095
39274.66667,1.229105
39305.66667,1.228003
39336.66667,1.227898
39427.66667,1.223601
11/13/2007 16:00:00,1.2239
11/14/2007 16:00:00,1.213902
11/15/2007 16:00:00,1.211901
11/16/2007 16:00:00,null
11/19/2007 16:00:00,1.215407
11/20/2007 16:00:00,1.204094
11/21/2007 16:00:00,1.207307
11/23/2007 16:00:00,1.201894
11/26/2007 16:00:00,1.2062
11/27/2007 16:00:00,1.202096
11/28/2007 16:00:00,1.202805
11/29/2007 16:00:00,1.191299
11/30/2007 16:00:00,1.191895
39153.66667,1.201201
39184.66667,1.217196
39214.66667,1.213003
39245.66667,1.204906
39275.66667,1.198495
39367.66667,1.202805
39398.66667,1.201894
39428.66667,1.2077
12/13/2007 16:00:00,1.2011
12/14/2007 16:00:00,1.1955
12/17/2007 16:00:00,1.197404
12/18/2007 16:00:00,1.201793
12/19/2007 16:00:00,1.1954
12/20/2007 16:00:00,1.197605
12/21/2007 16:00:00,1.211196
12/24/2007 16:00:00,1.206302
12/26/2007 16:00:00,1.2143
12/27/2007 16:00:00,1.207103
12/28/2007 16:00:00,1.198897
12/31/2007 16:00:00,1.2024
39479.66667,1.206753
39508.66667,1.1952
39539.66667,1.181307
39630.66667,1.179301
39661.66667,1.176803
39692.66667,1.177801
39722.66667,1.167556
39753.66667,1.173502
1/14/2008 16:00:00,1.169194
1/15/2008 16:00:00,1.173199
1/16/2008 16:00:00,1.167706
1/17/2008 16:00:00,1.174798
1/18/2008 16:00:00,1.177607
1/22/2008 16:00:00,1.173695
1/23/2008 16:00:00,1.181405
1/24/2008 16:00:00,1.180805
1/25/2008 16:00:00,1.178106
1/28/2008 16:00:00,1.172498
1/29/2008 16:00:00,1.185003
1/30/2008 16:00:00,1.176803
1/31/2008 16:00:00,1.180498
39449.66667,1.174205
39540.66667,1.171893
39570.66667,1.178703
39601.66667,1.179802
39631.66667,1.171797
39662.66667,1.181307
39754.66667,1.181405
39784.66667,1.1956
2/13/2008 16:00:00,1.1949
2/14/2008 16:00:00,1.197404
2/15/2008 16:00:00,1.196702
2/19/2008 16:00:00,1.201403
2/20/2008 16:00:00,1.200696
2/21/2008 16:00:00,1.187493
2/22/2008 16:00:00,1.183404
2/25/2008 16:00:00,1.187296
2/26/2008 16:00:00,1.187197
2/27/2008 16:00:00,1.183796
2/28/2008 16:00:00,1.185607
2/29/2008 16:00:00,1.184806
39510.66667,1.185003
39541.66667,1.184105
39571.66667,1.181698
39602.66667,1.203297
39632.66667,1.211196
39724.66667,1.210698
39755.66667,1.215407
39785.66667,1.207496
3/13/2008 16:00:00,1.206404
3/14/2008 16:00:00,1.213902
3/17/2008 16:00:00,1.2045
3/18/2008 16:00:00,1.2143
3/19/2008 16:00:00,1.211607
3/20/2008 16:00:00,1.210844
3/24/2008 16:00:00,1.2108
3/25/2008 16:00:00,1.209102
3/26/2008 16:00:00,1.213607
3/27/2008 16:00:00,1.230406
3/28/2008 16:00:00,1.226497
3/31/2008 16:00:00,1.2245
39451.66667,1.221493
39482.66667,1.209395
39511.66667,1.208605
39542.66667,1.214845
39633.66667,1.206695
39664.66667,1.208401
39695.66667,1.202704
39725.66667,1.196301
39756.66667,1.1993
4/14/2008 16:00:00,1.196501
4/15/2008 16:00:00,1.1994
4/16/2008 16:00:00,1.190703
4/17/2008 16:00:00,1.191199
4/18/2008 16:00:00,1.191597
4/21/2008 16:00:00,1.188594
4/22/2008 16:00:00,1.190703
4/23/2008 16:00:00,1.194201
4/24/2008 16:00:00,1.193403
4/25/2008 16:00:00,1.191995
4/28/2008 16:00:00,1.191597
4/29/2008 16:00:00,1.192194
4/30/2008 16:00:00,1.187804
39452.66667,1.185003
39483.66667,1.193004
39573.66667,1.191995
39604.66667,1.203905
39634.66667,1.204602
39665.66667,1.201605
39696.66667,1.189004
39787.66667,1.192705
5/13/2008 16:00:00,1.190405
5/14/2008 16:00:00,1.1911
5/15/2008 16:00:00,1.196702
5/16/2008 16:00:00,1.201894
5/19/2008 16:00:00,1.207103
5/20/2008 16:00:00,1.217493
5/21/2008 16:00:00,1.2192
5/22/2008 16:00:00,1.216293
5/23/2008 16:00:00,1.2108
5/27/2008 16:00:00,1.207904
5/28/2008 16:00:00,1.197203
5/29/2008 16:00:00,1.2035
5/30/2008 16:00:00,1.2011
39484.66667,1.2011
39513.66667,1.203094
39544.66667,1.216797
39574.66667,1.211504
39605.66667,1.213902
39697.66667,1.226001
39727.66667,1.228803
39758.66667,1.221404
39788.66667,1.209497
6/13/2008 16:00:00,1.211196
6/16/2008 16:00:00,1.214801
6/17/2008 16:00:00,1.211402
6/18/2008 16:00:00,1.211607
6/19/2008 16:00:00,1.211196
6/20/2008 16:00:00,1.2254
6/23/2008 16:00:00,1.236705
6/24/2008 16:00:00,1.237808
6/25/2008 16:00:00,1.230906
6/26/2008 16:00:00,1.234096
6/27/2008 16:00:00,1.238896
6/30/2008 16:00:00,1.2429
39454.66667,1.244896
39485.66667,1.253196
39514.66667,1.2636
39636.66667,1.258004
39667.66667,1.261702
39698.66667,1.262307
39728.66667,1.270099
39759.66667,1.272799
7/14/2008 16:00:00,1.270293
7/15/2008 16:00:00,1.276699
7/16/2008 16:00:00,1.277449
7/17/2008 16:00:00,1.285198
7/18/2008 16:00:00,1.292992
7/21/2008 16:00:00,1.279001
7/22/2008 16:00:00,1.285
7/23/2008 16:00:00,1.274194
7/24/2008 16:00:00,1.285099
7/25/2008 16:00:00,1.276699
7/28/2008 16:00:00,1.285298
7/29/2008 16:00:00,1.278298
7/30/2008 16:00:00,1.2774
7/31/2008 16:00:00,1.281
39455.66667,1.273902
39546.66667,1.275104
39576.66667,1.286505
39607.66667,1.281608
39637.66667,1.281099
39668.66667,1.291806
39760.66667,1.290106
39790.66667,1.282199
8/13/2008 16:00:00,1.280197
8/14/2008 16:00:00,1.264894
8/15/2008 16:00:00,1.264095
8/18/2008 16:00:00,1.258606
8/19/2008 16:00:00,1.254595
8/20/2008 16:00:00,1.260907
8/21/2008 16:00:00,1.263999
8/22/2008 16:00:00,1.264494
8/25/2008 16:00:00,1.258004
8/26/2008 16:00:00,1.258907
8/27/2008 16:00:00,1.266095
8/28/2008 16:00:00,1.258495
8/29/2008 16:00:00,1.252395
39487.66667,1.258907
39516.66667,1.256897
39547.66667,1.254595
39577.66667,1.2664
39669.66667,1.278298
39700.66667,1.280098
39730.66667,1.279001
39761.66667,1.273399
39791.66667,1.277596
9/15/2008 16:00:00,1.282397
9/16/2008 16:00:00,1.274502
9/17/2008 16:00:00,1.276748
9/18/2008 16:00:00,1.271197
9/19/2008 16:00:00,1.269696
9/22/2008 16:00:00,1.264398
9/23/2008 16:00:00,1.251799
9/24/2008 16:00:00,1.250203
9/25/2008 16:00:00,1.259906
9/26/2008 16:00:00,1.263296
9/29/2008 16:00:00,1.2706
9/30/2008 16:00:00,1.262403
39457.66667,1.2584
39488.66667,1.271294
39517.66667,1.269599
39609.66667,1.275104
39639.66667,1.2774
39670.66667,1.282002
39701.66667,1.279198
39731.66667,1.279902
10/13/2008 16:00:00,1.287896
